Target: http://team.thm/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00012:  C=200    373 L	     977 W	  11366 Ch	  "ns2"
00011:  C=200    373 L	     977 W	  11366 Ch	  "ns1"
00010:  C=200    373 L	     977 W	  11366 Ch	  "whm"
00009:  C=200    373 L	     977 W	  11366 Ch	  "cpanel"
00006:  C=200    373 L	     977 W	  11366 Ch	  "smtp"
00001:  C=200     89 L	     220 W	   2966 Ch	  "www"
00003:  C=200    373 L	     977 W	  11366 Ch	  "ftp"
00007:  C=200    373 L	     977 W	  11366 Ch	  "webdisk"
00002:  C=200    373 L	     977 W	  11366 Ch	  "mail"
00004:  C=200    373 L	     977 W	  11366 Ch	  "localhost"
00013:  C=200    373 L	     977 W	  11366 Ch	  "autodiscover"
00015:  C=200    373 L	     977 W	  11366 Ch	  "ns"
00019:  C=200      9 L	      20 W	    187 Ch	  "dev"
00023:  C=200    373 L	     977 W	  11366 Ch	  "forum"
00022:  C=200    373 L	     977 W	  11366 Ch	  "pop3"
00021:  C=200    373 L	     977 W	  11366 Ch	  "ns3"
00008:  C=200    373 L	     977 W	  11366 Ch	  "pop"
00018:  C=200    373 L	     977 W	  11366 Ch	  "blog"
00020:  C=200    373 L	     977 W	  11366 Ch	  "www2"
00017:  C=200    373 L	     977 W	  11366 Ch	  "m"
00026:  C=200    373 L	     977 W	  11366 Ch	  "vpn"
00024:  C=200    373 L	     977 W	  11366 Ch	  "admin"
00025:  C=200    373 L	     977 W	  11366 Ch	  "mail2"
00014:  C=200    373 L	     977 W	  11366 Ch	  "autoconfig"
00032:  C=200    373 L	     977 W	  11366 Ch	  "mysql"
00036:  C=200    373 L	     977 W	  11366 Ch	  "secure"
00035:  C=200    373 L	     977 W	  11366 Ch	  "cp"
00034:  C=200    373 L	     977 W	  11366 Ch	  "support"
00031:  C=200    373 L	     977 W	  11366 Ch	  "mobile"
00033:  C=200    373 L	     977 W	  11366 Ch	  "beta"
00030:  C=200    373 L	     977 W	  11366 Ch	  "new"
00028:  C=200    373 L	     977 W	  11366 Ch	  "imap"
00027:  C=200    373 L	     977 W	  11366 Ch	  "mx"
00029:  C=200    373 L	     977 W	  11366 Ch	  "old"
00037:  C=200    373 L	     977 W	  11366 Ch	  "shop"
00039:  C=200    373 L	     977 W	  11366 Ch	  "dns2"
00043:  C=200    373 L	     977 W	  11366 Ch	  "lists"
00048:  C=200    373 L	     977 W	  11366 Ch	  "portal"
00047:  C=200    373 L	     977 W	  11366 Ch	  "news"
